Código CCN,Código CNH,Nombre,Comunidad Autónoma,Provincia,Municipio,Dirección,Código Postal,Teléfono,Número de camas instaladas,Tipo de Centro,Dependencia Funcional,Observaciones,Concierto,Acreditación Docente
0129001086,290348,CLINICA EL SERANIL,Andalucía,Malaga,Vélez-Málaga,CARRETERA ALMERIA S/N,29790,952513267,60,Hospitales de salud mental y tratamiento de toxicomanías,Privados,,Sin concierto,NO
0129001087,290154,HOSPITAL  DE ANTEQUERA,Andalucía,Malaga,Antequera,AVENIDA POETA MUÃOZ ROJAS S/N,29200,951061008,159,Hospitales Generales,Servicios e Institutos de Salud de Las Comunidades Autónomas,,Sin concierto,SI
0129001088,290173,HOSPITAL QUIRONSALUD MARBELLA,Andalucía,Malaga,Marbella,AVENIDA SEVERO OCHOA 22,29603,952774200,75,Hospitales Generales,Privados,,Sin concierto,NO
0129001090,290069,CENTRO ASISTENCIAL SAN JUAN DE DIOS,Andalucía,Malaga,Málaga,CAMINO CASABERMEJA 126,29014,952250550,398,Hospitales de salud mental y tratamiento de toxicomanías,Privados,,Concierto parcial,NO
0129001091,290136,HOSPITAL PSIQUIATRICO SAN FRANCISCO DE ASIS,Andalucía,Malaga,Málaga,AVENIDA HERNAN NUÃEZ DE TOLEDO 5,29018,952201464,180,Hospitales de salud mental y tratamiento de toxicomanías,Privados,,Sin concierto,NO
0129001092,290359,HC MARBELLA INTERNATIONAL HOSPITAL,Andalucía,Malaga,Marbella,CALLE VENTURA DEL MAR 11,29660,952908628,30,Hospitales Generales,Privados,,Sin concierto,NO
0129001424,290461,HOSPITAL OCHOA,Andalucía,Malaga,Marbella,PASEO ALFONSO CAÃAS NOGUERAS (PASEO MARITIMO) S/N,29603,952861400,22,Hospitales Generales,Privados,,Sin concierto,NO
0129001851,290382,CLINICAS DEL SUR SLU,Andalucía,Malaga,Estepona,CARRETERA NACIONAL 340 S/N,29680,952760600,74,Hospitales Generales,Privados,,Sin concierto,NO
0129001928,290405,HOSPITAL VITHAS XANIT INTERNACIONAL,Andalucía,Malaga,Benalmádena,AVENIDA DE LOS ARGONAUTAS S/N,29630,952443119,125,Hospitales Generales,Privados,,Sin concierto,NO
0129001929,290393,FUNDACION CUDECA. CENTRO DE CUIDADOS PALIATIVOS,Andalucía,Malaga,Benalmádena,AVENIDA DEL COSMOS S/N,29631,952564910,15,Hospitales especializados,Privados,,Sin concierto,NO
0129002504,290449,HOSPITAL QUIRONSALUD MALAGA,Andalucía,Malaga,Málaga,AVENIDA IMPERIO ARGENTINA 1,29004,952176016,160,Hospitales Generales,Privados,,Sin concierto,NO
0129002973,290450,HOSPITAL VITHAS XANIT ESTEPONA,Andalucía,Malaga,Estepona,AVENIDA ANDALUCIA 2 Y 4,29680,952808100,10,Hospitales Generales,Privados,,Sin concierto,NO
0129003159,290472,HOSPITAL RECOLETAS MARBELLA SLU,Andalucía,Malaga,Marbella,CALLE MAESTRA DOÑA CAROLA 8,29602,952899350,22,Hospitales Generales,Privados,,Sin concierto,NO
0129007039,290506,HOSPITAL DE LA SERRANIA,Andalucía,Malaga,Ronda,"CARRETERA RONDA-SAN PEDRO, KM. 2 S/N",29400,951065077,150,Hospitales Generales,Servicios e Institutos de Salud de Las Comunidades Autónomas,,Sin concierto,SI
0129007432,290517,HOSPITAL VALLE DE GUADALHORCE DE CARTAMA,Andalucía,Malaga,Málaga,"CARRETERA AUTOVIA A-357 MÃALAGA - CAMPIÃAA, KM 49 S/N",29570,951938719,28,Hospitales Generales,Servicios e Institutos de Salud de Las Comunidades Autónomas,,Sin concierto.,NO
0129007460,290528,HOSPITAL DE ALTA RESOLUCION DE ESTEPONA,Andalucía,Malaga,Estepona,CALLE IRENE VILLA GONZ?LEZ 9,29680,951976453,38,Hospitales Generales,Servicios e Institutos de Salud de Las Comunidades Autónomas,,Sin concierto.,NO
0141000534,410114,HOSPITAL QUIRONSALUD SAGRADO CORAZON,Andalucía,Sevilla,Sevilla,CALLE RAFAEL SALGADO 3,41013,954937676,178,Hospitales Generales,Privados,,Sin concierto,NO
0141000536,410325,FREMAP_HOSPITAL Y CENTRO DE REHABILITACION DE SEVILLA,Andalucía,Sevilla,Sevilla,AVENIDA DE JEREZ S/N,41014,954249102,102,Hospitales especializados,Mútuas Colaboradoras con La Seguridad Social,,Sin concierto,NO
0141000537,410129,HOSPITAL FÃTIMA,Andalucía,Sevilla,Sevilla,GLORIETA DE MEJICO 1,41012,954613300,73,Hospitales Generales,Privados,,Sin concierto,NO
0141000538,410074,HOSPITAL RECOLETAS SALUD VICTORIA EUGENIA,Andalucía,Sevilla,Sevilla,AVENIDA DE LA CRUZ ROJA 1,41009,954352082,43,Hospitales Generales,Privados,,Sin concierto,NO
0141000539,410107,CLINICA SANTA ISABEL,Andalucía,Sevilla,Sevilla,CALLE LUIS MONTOTO 100,41018,954919000,96,Hospitales Generales,Privados,,Sin concierto,NO
0141000540,410251,HOSPITAL LA MERCED,Andalucía,Sevilla,Osuna,AVENIDA DE LA CONSTITUCION 2,41640,955077200,225,Hospitales Generales,Servicios e Institutos de Salud de Las Comunidades Autónomas,,Sin concierto.,NO
0141000541,410021,HOSPITAL UNIVERSITARIO VIRGEN DE VALME,Andalucía,Sevilla,Sevilla,AVENIDA DE BELLAVISTA S/N,41014,955015160,617,Hospitales Generales,Servicios e Institutos de Salud de Las Comunidades Autónomas,,Sin concierto.,NO
0141000543,410227,HOSPITAL EL TOMILLAR,Andalucía,Sevilla,Alcalá de Guadaíra,CARRETERA ALCALA-DOS HERMANAS S/N,41500,000000000,80,Hospitales Generales,Servicios e Institutos de Salud de Las Comunidades Autónomas,,Sin concierto.,NO
0141000544,410042,HOSPITAL UNIVERSITARIO VIRGEN MACARENA,Andalucía,Sevilla,Sevilla,AVENIDA DOCTOR FEDRIANI 3,41009,955008000,777,Hospitales Generales,Servicios e Institutos de Salud de Las Comunidades Autónomas,,Sin concierto.,NO
0141000546,410055,HOSPITAL SAN  LAZARO,Andalucía,Sevilla,Sevilla,AVENIDA DOCTOR FEDRIANI S/N,41009,955017800,66,Hospitales Generales,Servicios e Institutos de Salud de Las Comunidades Autónomas,,Sin concierto.,NO
0141000547,410016,HOSPITAL UNIVERSITARIO VIRGEN DEL ROCIO,Andalucía,Sevilla,Sevilla,AVENIDA MANUEL SIUROT S/N,41013,955013466,628,Hospitales Generales,Servicios e Institutos de Salud de Las Comunidades Autónomas,,Sin concierto.,NO
0141000550,410443,HOSPITAL DE REHABILITACION Y TRAUMATOLOGIA DEL H.U.  VIRGEN DEL ROCIO,Andalucía,Sevilla,Sevilla,AVENIDA MANUEL SIUROT S/N,41013,000000000,295,Hospitales especializados,Servicios e Institutos de Salud de Las Comunidades Autónomas,,Sin concierto.,NO
0141000551,410465,HOSPITAL INFANTIL,Andalucía,Sevilla,Sevilla,AVENIDA MANUEL SIUROT S/N,41013,000000000,134,Hospitales especializados,Servicios e Institutos de Salud de Las Comunidades Autónomas,,Sin concierto.,NO
0141000552,410080,HOSPITAL SAN JUAN DE DIOS DE SEVILLA,Andalucía,Sevilla,Sevilla,AVENIDA EDUARDO DATO 42,41005,954933870,289,Hospitales Generales,Privados,,Sin concierto,NO
0141000553,410191,CLINICA NUESTRA SE?ORA DE ARANZAZU,Andalucía,Sevilla,Sevilla,CALLE JESUS DEL GRAN PODER 29,41002,954382110,10,Otros Centros con Internamiento,Privados,,Sin concierto,NO
0141000554,410248,HOSPITAL DE ALTA RESOLUCION DE MORON DE LA FRONTERA,Andalucía,Sevilla,Morón de la Frontera,PLAZA SAN FRANCISCO S/N,41530,954851008,12,Hospitales Generales,Servicios e Institutos de Salud de Las Comunidades Autónomas,,Sin concierto.,NO
0141000555,410353,HOSPITAL SAN JUAN DE DIOS DEL ALJARAFE,Andalucía,Sevilla,Bormujos,AVENIDA SAN JUAN DE DIOS S/N,41930,955050550,200,Hospitales Generales,Otros Centros o Establecimientos Públicos de Dependencia Autonómica,,Sin concierto,SI
0141000556,410212,RESIDENCIA DE SALUD MENTAL NUESTRA SE?ORA DEL CARMEN,Andalucía,Sevilla,Bormujos,AVENIDA RIO PUDIO S/N,41930,954906671,54,Hospitales de salud mental y tratamiento de toxicomanías,Privados,,Sin concierto,NO
0141000649,410483,ITA CLINIC BCN,Andalucía,Sevilla,Sevilla,CALLE VIDRIO 32,41005,954633252,19,Otros Centros con Internamiento,Privados,,Sin concierto,NO
